Bayer Leverkusen , Lierse,group,"Ulrich-Haberland-Stadion, Leverkusen",1,0,1997-09-17 20:45:00+02:00
Lierse , Sporting CP,group,"Jules Ottenstadion, Ghent",1,1,1997-10-01 20:45:00+02:00
Monaco , Bayer Leverkusen,group,"Stade Louis II, Monaco",4,0,1997-10-01 20:45:00+02:00
Monaco , Lierse,group,"Stade Louis II, Monaco",5,1,1997-10-22 20:45:00+02:00
Sporting CP , Bayer Leverkusen,group,"José Alvalade, Lisbon",0,2,1997-10-22 20:45:00+02:00
Lierse , Monaco,group,"Jules Ottenstadion, Ghent",0,1,1997-11-05 20:45:00+01:00
Bayer Leverkusen , Sporting CP,group,"Ulrich-Haberland-Stadion, Leverkusen",4,1,1997-11-05 20:45:00+01:00
Monaco , Sporting CP,group,"Stade Louis II, Monaco",3,2,1997-11-26 20:45:00+01:00
Lierse , Bayer Leverkusen,group,"Jules Ottenstadion, Ghent",0,2,1997-11-26 20:45:00+01:00
Sporting CP , Lierse,group,"José Alvalade, Lisbon",2,1,1997-12-10 20:45:00+01:00
Bayer Leverkusen , Monaco,group,"Ulrich-Haberland-Stadion, Leverkusen",2,2,1997-12-10 20:45:00+01:00
